size    stride  elapsed(s)      cycles
[LOG]: running with array of size 4 KiB
4096    1       0.000957        958
4096    2       0.000973        973
4096    4       0.000972        972
4096    8       0.000960        960
4096    16      0.000963        964
4096    32      0.000975        975
4096    64      0.000915        915
4096    128     0.000890        890
4096    256     0.000817        817
4096    512     0.000845        845
4096    1024    0.000781        782
4096    2048    0.000779        779
[LOG]: running with array of size 8 KiB
8192    1       0.001821        1821
8192    2       0.001824        1824
8192    4       0.001816        1816
8192    8       0.001799        1799
8192    16      0.001822        1823
8192    32      0.001817        1817
8192    64      0.001802        1802
8192    128     0.001749        1749
8192    256     0.001666        1667
8192    512     0.001635        1634
8192    1024    0.001602        1602
8192    2048    0.001654        1654
8192    4096    0.001700        1700
[LOG]: running with array of size 16 KiB
16384   1       0.003634        3634
16384   2       0.003641        3642
16384   4       0.003636        3636
16384   8       0.003576        3576
16384   16      0.003654        3654
16384   32      0.003649        3649
16384   64      0.003633        3633
16384   128     0.003588        3588
16384   256     0.003396        3396
16384   512     0.003318        3318
16384   1024    0.003268        3268
16384   2048    0.003404        3404
16384   4096    0.003554        3555
16384   8192    0.003391        3391
[LOG]: running with array of size 32 KiB
32768   1       0.007266        7266
32768   2       0.007235        7235
32768   4       0.007184        7184
32768   8       0.007096        7096
32768   16      0.006949        6949
32768   32      0.006786        6786
32768   64      0.007285        7285
32768   128     0.007263        7263
32768   256     0.007165        7165
32768   512     0.006826        6826
32768   1024    0.006646        6646
32768   2048    0.006736        6736
32768   4096    0.007191        7191
32768   8192    0.007109        7109
32768   16384   0.006784        6783
[LOG]: running with array of size 64 KiB
65536   1       0.013671        13671
65536   2       0.013227        13227
65536   4       0.014073        14074
65536   8       0.014184        14184
65536   16      0.014067        14067
65536   32      0.013798        13797
65536   64      0.012217        12217
65536   128     0.012233        12232
65536   256     0.012430        12430
65536   512     0.012430        12430
65536   1024    0.012118        12117
65536   2048    0.035141        35141
65536   4096    0.032407        32407
65536   8192    0.014141        14141
65536   16384   0.013927        13927
65536   32768   0.013312        13313
[LOG]: running with array of size 128 KiB
131072  1       0.026789        26789
131072  2       0.025918        25918
131072  4       0.028032        28032
131072  8       0.028344        28344
131072  16      0.028073        28073
131072  32      0.027551        27551
131072  64      0.024585        24585
131072  128     0.025539        25539
131072  256     0.025998        25998
131072  512     0.026209        26209
131072  1024    0.026982        26983
131072  2048    0.071900        71900
131072  4096    0.113716        113716
131072  8192    0.082649        82649
131072  16384   0.028170        28170
131072  32768   0.027842        27842
131072  65536   0.026607        26607
[LOG]: running with array of size 256 KiB
262144  1       0.053670        53669
262144  2       0.051903        51903
262144  4       0.056073        56073
262144  8       0.056441        56442
262144  16      0.055911        55910
262144  32      0.054407        54407
262144  64      0.052677        52678
262144  128     0.058617        58617
262144  256     0.065760        65761
262144  512     0.069198        69197
262144  1024    0.071652        71652
262144  2048    0.146161        146162
262144  4096    0.239566        239566
262144  8192    0.207821        207821
262144  16384   0.129673        129673
262144  32768   0.056282        56283
262144  65536   0.055559        55559
262144  131072  0.053159        53158
[LOG]: running with array of size 512 KiB
524288  1       0.107623        107623
524288  2       0.103688        103688
524288  4       0.112368        112368
524288  8       0.112780        112780
524288  16      0.112098        112098
524288  32      0.108571        108571
524288  64      0.111585        111584
524288  128     0.133394        133393
524288  256     0.164020        164020
524288  512     0.170041        170041
524288  1024    0.176460        176460
524288  2048    0.161333        161333
524288  4096    0.453656        453656
524288  8192    0.442341        442341
524288  16384   0.421457        421457
524288  32768   0.287016        287016
524288  65536   0.120089        120089
524288  131072  0.111009        111009
524288  262144  0.106257        106257
[LOG]: running with array of size 1024 KiB
1048576 1       0.215079        215079
1048576 2       0.207252        207253
1048576 4       0.225144        225144
1048576 8       0.225234        225234
1048576 16      0.223813        223813
1048576 32      0.217531        217531
1048576 64      0.225008        225008
1048576 128     0.271331        271331
1048576 256     0.337629        337629
1048576 512     0.353053        353053
1048576 1024    0.367345        367346
1048576 2048    0.324871        324871
1048576 4096    0.920292        920292
1048576 8192    0.926723        926723
1048576 16384   0.926654        926654
1048576 32768   0.846200        846199
1048576 65536   0.576461        576461
1048576 131072  0.240418        240417
1048576 262144  0.222218        222217
1048576 524288  0.212232        212231
[LOG]: running with array of size 2048 KiB
2097152 1       0.430346        430346
2097152 2       0.415538        415538
2097152 4       0.450318        450318
2097152 8       0.450766        450766
2097152 16      0.448377        448377
2097152 32      0.435804        435817
2097152 64      0.451902        451902
2097152 128     0.540756        540756
2097152 256     0.675102        675102
2097152 512     0.709483        709497
2097152 1024    0.729450        729450
2097152 2048    0.648304        648304
2097152 4096    1.850760        1850760
2097152 8192    1.808606        1808606
2097152 16384   1.796353        1796353
2097152 32768   1.736114        1736114
2097152 65536   1.805454        1805454
2097152 131072  1.637082        1637083
2097152 262144  0.479994        479994
2097152 524288  0.446366        446367
2097152 1048576 0.424280        424280
[LOG]: running with array of size 4096 KiB
4194304 1       0.859869        859869
4194304 2       0.829776        829776
4194304 4       0.900715        900714
4194304 8       0.901764        901764
4194304 16      0.896913        896913
4194304 32      0.876697        876697
4194304 64      0.919792        919793
4194304 128     1.114427        1114427
4194304 256     1.403353        1403353
4194304 512     1.453156        1453156
4194304 1024    1.464147        1464147
4194304 2048    1.294746        1294745
4194304 4096    3.736197        3736197
4194304 8192    3.650382        3650382
4194304 16384   3.668213        3668213
4194304 32768   3.541796        3541795
4194304 65536   3.427437        3427436
4194304 131072  3.683621        3683620
4194304 262144  2.309556        2309556
4194304 524288  0.961513        961513
4194304 1048576 0.892721        892721
4194304 2097152 0.849028        849028
