size    stride  elapsed(s)      cycles
[LOG]: running with array of size 4 KiB
4096    1       0.000991        992
4096    2       0.000974        974
4096    4       0.000973        973
4096    8       0.000960        960
4096    16      0.001009        1009
4096    32      0.000986        986
4096    64      0.000896        896
4096    128     0.000888        888
4096    256     0.000872        871
4096    512     0.000848        848
4096    1024    0.000818        818
4096    2048    0.000819        819
[LOG]: running with array of size 8 KiB
8192    1       0.001913        1913
8192    2       0.001915        1915
8192    4       0.001914        1914
8192    8       0.001886        1885
8192    16      0.001922        1921
8192    32      0.001922        1922
8192    64      0.001874        1874
8192    128     0.001837        1838
8192    256     0.001774        1774
8192    512     0.001718        1718
8192    1024    0.001636        1636
8192    2048    0.001655        1656
8192    4096    0.001695        1695
[LOG]: running with array of size 16 KiB
16384   1       0.003633        3633
16384   2       0.003641        3641
16384   4       0.003636        3637
16384   8       0.003593        3593
16384   16      0.003654        3654
16384   32      0.003644        3644
16384   64      0.003628        3628
16384   128     0.003573        3573
16384   256     0.003526        3526
16384   512     0.003325        3326
16384   1024    0.003256        3255
16384   2048    0.003400        3400
16384   4096    0.003548        3548
16384   8192    0.003389        3389
[LOG]: running with array of size 32 KiB
32768   1       0.007220        7219
32768   2       0.007225        7225
32768   4       0.007197        7197
32768   8       0.007088        7089
32768   16      0.006895        6895
32768   32      0.006799        6799
32768   64      0.007317        7317
32768   128     0.007303        7303
32768   256     0.007388        7388
32768   512     0.006844        6844
32768   1024    0.006650        6650
32768   2048    0.006821        6822
32768   4096    0.007189        7189
32768   8192    0.007114        7114
32768   16384   0.006782        6782
[LOG]: running with array of size 64 KiB
65536   1       0.013692        13692
65536   2       0.013224        13224
65536   4       0.014316        14316
65536   8       0.014237        14238
65536   16      0.014084        14084
65536   32      0.014139        14139
65536   64      0.012379        12378
65536   128     0.012689        12689
65536   256     0.013117        13117
65536   512     0.012414        12414
65536   1024    0.012165        12165
65536   2048    0.035178        35178
65536   4096    0.032472        32471
65536   8192    0.014147        14146
65536   16384   0.013968        13967
65536   32768   0.013328        13328
[LOG]: running with array of size 128 KiB
131072  1       0.026793        26793
131072  2       0.025934        25934
131072  4       0.028227        28227
131072  8       0.028380        28380
131072  16      0.028009        28023
131072  32      0.028018        28018
131072  64      0.025004        25004
131072  128     0.026582        26582
131072  256     0.027764        27764
131072  512     0.026638        26638
131072  1024    0.027058        27057
131072  2048    0.072007        72007
131072  4096    0.111939        111938
131072  8192    0.064739        64739
131072  16384   0.028270        28270
131072  32768   0.027812        27812
131072  65536   0.026579        26579
[LOG]: running with array of size 256 KiB
262144  1       0.053651        53651
262144  2       0.051752        51752
262144  4       0.056172        56172
262144  8       0.056560        56559
262144  16      0.055857        55858
262144  32      0.054976        54976
262144  64      0.051508        51509
262144  128     0.056851        56852
262144  256     0.062758        62758
262144  512     0.061004        61004
262144  1024    0.062242        62242
262144  2048    0.141898        141898
262144  4096    0.221153        221152
262144  8192    0.209101        209101
262144  16384   0.130117        130116
262144  32768   0.056341        56342
262144  65536   0.055600        55600
262144  131072  0.053084        53084
[LOG]: running with array of size 512 KiB
524288  1       0.107438        107438
524288  2       0.104374        104375
524288  4       0.112469        112468
524288  8       0.112670        112670
524288  16      0.110848        110849
524288  32      0.109069        109069
524288  64      0.107989        107990
524288  128     0.131256        131256
524288  256     0.158912        158911
524288  512     0.158480        158480
524288  1024    0.160163        160162
524288  2048    0.158915        158915
524288  4096    0.444531        444532
524288  8192    0.436658        436657
524288  16384   0.421124        421124
524288  32768   0.396968        396968
524288  65536   0.120484        120484
524288  131072  0.117740        117740
524288  262144  0.106116        106116
[LOG]: running with array of size 1024 KiB
1048576 1       0.214977        214977
1048576 2       0.208345        208345
1048576 4       0.224414        224413
1048576 8       0.225391        225391
1048576 16      0.221673        221672
1048576 32      0.217351        217351
1048576 64      0.216786        216785
1048576 128     0.267329        267329
1048576 256     0.332462        332476
1048576 512     0.336738        336738
1048576 1024    0.342602        342601
1048576 2048    0.308162        308163
1048576 4096    0.897974        897974
1048576 8192    0.870884        870884
1048576 16384   0.895036        895035
1048576 32768   0.853876        853876
1048576 65536   0.816142        816142
1048576 131072  0.241190        241190
1048576 262144  0.222926        222926
1048576 524288  0.212367        212367
[LOG]: running with array of size 2048 KiB
2097152 1       0.430195        430195
2097152 2       0.416212        416212
2097152 4       0.449453        449452
2097152 8       0.450722        450722
2097152 16      0.443376        443376
2097152 32      0.434432        434432
2097152 64      0.432648        432649
2097152 128     0.534688        534688
2097152 256     0.664425        664425
2097152 512     0.676453        676467
2097152 1024    0.697043        697044
2097152 2048    0.626121        626122
2097152 4096    1.839915        1839915
2097152 8192    1.755072        1755073
2097152 16384   1.841607        1841608
2097152 32768   1.711631        1711631
2097152 65536   1.627999        1627999
2097152 131072  1.537966        1537966
2097152 262144  0.480192        480192
2097152 524288  0.444363        444363
2097152 1048576 0.424647        424647
[LOG]: running with array of size 4096 KiB
4194304 1       0.860405        860405
4194304 2       0.832506        832505
4194304 4       0.898377        898377
4194304 8       0.901297        901297
4194304 16      0.888594        888594
4194304 32      0.873440        873440
4194304 64      0.889436        889436
4194304 128     1.117306        1117306
4194304 256     1.390613        1390612
4194304 512     1.453059        1453059
4194304 1024    1.504405        1504405
4194304 2048    1.301695        1301695
4194304 4096    3.610577        3610577
4194304 8192    3.503935        3503935
4194304 16384   3.699763        3699763
4194304 32768   3.676703        3676703
4194304 65536   3.471044        3471045
4194304 131072  3.139517        3139516
4194304 262144  3.044541        3044541
4194304 524288  0.960435        960435
4194304 1048576 0.888841        888841
4194304 2097152 0.850258        850259
